Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,479.95,44.11,20820.05,3375.53,2577.37,76.35,76.30,21.07,3.01,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.98,-0.18,0.53,6.89,12.39
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1466.00,39.30,11607.72,2527.53,1878.12,74.31,75.29,19.24,2.48,1.12,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.65,2.61,-3.89,7.82,34.51
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1732.10,33.51,32526.63,24060.83,3569.63,14.84,14.07,10.07,1.63,1.52,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.16,-1.58,0.38,0.13,18.42
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,925.25,40.42,11018.17,3232.42,500.38,15.48,15.20,26.36,6.18,0.46,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.29,-0.22,-1.08,0.24,42.17
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,144.65,49.83,278953.11,55474.57,20671.12,37.26,38.11,23.18,4.77,0.62,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.96,0.94,-0.93,2.56,20.85
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,828.75,72.38,23932.43,1782.66,1066.81,59.84,64.91,24.65,6.71,2.16,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.43,-0.50,0.66,0.05,9.09
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,349.30,53.64,91368.82,41693.04,15151.78,36.34,35.13,28.00,2.84,1.15,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.38,0.76,-0.37,10.16,5.33
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas,703.70,30.59,24699.87,7425.45,1172.28,15.79,16.23,34.46,4.16,1.51,8.27,0.41,15.53,2504.41,283.91,538.52,439.25,114.95,5.19,-0.15,0.09,1.90,32.14
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,390.20,44.46,14350.96,12793.14,1421.99,11.12,10.85,28.57,2.66,2.67,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.96,3.41,-2.99,2.61,31.54
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,901.25,50.25,11056.66,2481.22,740.22,29.83,28.67,20.85,3.67,4.43,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.47,-0.15,0.42,0.08,28.46
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,894.90,26.94,16378.94,12875.97,1550.66,12.04,13.17,20.30,2.10,1.03,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.73,2.24,-1.42,0.26,26.65
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2347.10,33.14,21320.90,4660.51,1528.72,32.80,37.85,27.26,3.66,1.17,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,9.60,-1.56,-1.55,3.13,28.55
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,284.55,48.35,14248.07,1998.39,1683.70,84.25,84.58,16.90,3.06,0.64,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.13,9.83,4.95,4.27,22.01
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1186.30,46.33,68900.50,32514.48,6618.84,20.36,20.65,20.13,1.97,2.55,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,8.03,0.67,-0.17,1.43,13.09
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2999.30,64.28,50941.64,3865.32,3616.75,93.57,89.63,12.68,3.14,0.15,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,6.85,0.09,6.17,0.77,9.62
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,831.15,54.55,11324.06,5963.96,745.01,12.49,11.30,18.31,3.76,0.55,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.20,0.19,-0.61,0.02,13.87
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),989.30,39.70,615590.13,76194.74,52179.07,68.48,68.79,33.64,5.96,1.01,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.12,-0.13,0.26,7.75,10.27
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2026.40,44.38,323780.87,141479.18,53466.32,37.79,37.01,33.45,4.23,1.34,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.43,0.40,-0.29,7.51,7.68
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,94.17,26.46,78465.60,10327.38,9394.08,90.96,91.85,33.23,3.70,0.74,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.43,-0.05,-0.13,10.06,31.26
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,145.82,45.20,23491.19,21742.03,9378.08,43.13,51.91,19.13,0.96,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.76,1.30,-0.90,13.34,24.24
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,142.01,51.40,64652.44,73784.35,53001.26,71.83,71.03,6.45,0.77,0.15,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.25,-0.34,0.71,15.56,6.22
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,423.60,50.39,11805.32,5293.39,709.98,13.41,12.98,25.58,3.19,7.50,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,6.26,-0.50,-1.13,0.21,25.81
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",316.60,45.94,13035.72,2652.82,749.16,28.24,29.58,21.65,6.12,0.33,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,6.09,0.03,-1.72,0.54,39.38
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",870.20,41.71,21276.24,5588.84,1480.83,26.50,28.00,26.75,3.28,0.57,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.82,-0.16,-0.66,3.80,34.69
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1790.70,31.36,13611.41,2039.67,697.27,34.19,33.59,23.12,4.31,1.08,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.71,-0.12,0.35,0.01,31.81
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),180.64,44.16,17380.35,3903.31,2540.55,65.09,61.76,24.25,2.60,0.74,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.55,-0.24,0.11,6.88,22.04
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,188.65,50.12,18659.79,5635.47,1355.54,24.05,23.83,19.11,10.26,2.88,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.45,0.03,-0.04,0.05,25.14
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3703.50,39.66,14980.69,14022.58,1620.09,11.55,11.16,28.58,3.28,0.36,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.65,0.98,-1.18,3.06,16.55
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,37.06,49.38,33544.49,34595.01,20430.76,59.06,57.65,7.41,0.87,0.14,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.71,-0.20,-0.09,17.08,34.37
CESC,500084,CESC,Power,Integrated Power Utilities,165.18,40.69,21895.77,17907.00,3347.00,18.69,16.76,15.10,1.72,-25.59,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,9.05,0.27,0.16,5.74,14.10
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,472.15,63.95,18916.80,19477.16,2543.99,13.06,15.02,10.16,1.92,18.47,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,13.80,-2.56,1.23,0.04,36.41
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1825.80,43.85,34284.41,36160.19,20178.18,55.80,57.02,15.39,2.51,0.54,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.63,1.09,-0.93,9.22,20.58
CIE Automotive,532756,CIEINDIA,Auto Components,Auto Components & Equipments,389.30,34.37,14768.58,9123.42,1326.97,14.54,15.07,18.43,2.13,0.67,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,7.30,0.04,0.08,0.44,21.88
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1492.50,42.76,120559.85,28349.57,7199.40,25.40,25.87,22.16,3.66,0.86,14.72,0.01,17.77,18620.79,1038.58,6902.26,3035.06,6160.12,5.91,1.00,-0.70,0.07,10.79
