Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,170.30,1087.86,208.17,33.03,15.87,15.87,65.53,9.86,1.64,8.18,0.58,17.30,140.20,1.11,2.69
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,504.70,21806.04,3107.63,2371.26,76.30,76.30,23.91,3.42,0.65,4.31,2.56,16.86,1607.27,1.01,2.34
Aakaar Medical,,AAKAAR,Personal Products,95.75,135.70,61.58,9.74,15.82,15.82,22.47,,,13.71,0.98,33.80,44.63,0.18,4.20
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,951.30,8622.07,2115.07,464.37,21.96,21.96,31.65,4.33,,9.93,0.21,14.54,963.01,10.12,2.08
AGI Infra,539042,AGIIL,Realty,1066.90,2606.80,324.87,92.54,28.49,28.49,39.10,8.84,1.13,5.86,0.47,25.66,144.14,12.58,1.58
Algoquant Fin,505725,,Finance,1223.40,1910.52,234.70,48.24,20.55,20.55,59.91,18.93,,12.27,0.34,37.55,74.85,0.04,2.24
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1159.10,2836.71,780.15,125.28,16.06,16.06,33.98,13.11,0.36,24.19,0.36,48.07,180.11,2.86,4.51
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2621.20,21761.37,975.50,429.79,44.06,45.01,67.96,32.29,1.82,32.68,0.12,45.33,342.77,43.99,2.63
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7303.50,105013.12,21794.00,3021.80,13.87,13.87,72.63,12.79,1.98,8.05,0.96,19.09,3483.40,233.30,4.34
Arkade,544261,ARKADE,Realty,206.51,3834.14,683.10,206.09,30.17,30.17,24.43,4.34,,17.19,0.13,26.00,955.74,11.98,3.36
Aryaman Fin.Serv,530245,,Finance,711.90,831.64,112.87,52.67,46.66,46.66,26.35,6.46,0.26,23.47,0.22,31.30,116.80,5.23,2.35
Asahi India Glas,515030,ASAHIINDIA,Auto Components,842.00,20469.02,4594.48,766.13,16.68,16.68,59.42,7.67,3.21,5.61,1.01,13.72,722.98,66.46,3.93
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,564.05,5388.15,2738.93,369.99,13.51,13.51,18.64,4.34,0.45,7.98,0.94,26.62,697.96,74.89,1.89
ASM Technologies,526433,,IT - Software,2909.20,3424.79,288.81,47.20,16.34,16.34,135.64,20.74,0.79,9.62,0.52,16.47,149.13,8.55,2.38
Asston Pharmaceu,544445,,Pharmaceuticals & Biotechnology,120.00,102.15,25.04,6.17,24.64,24.64,23.59,,,21.37,1.07,67.76,11.46,0.57,4.76
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,181.00,190.25,97.52,15.12,15.50,15.50,35.56,,,6.61,3.54,44.66,28.86,0.19,1.58
Authum Invest,539177,AIIL,Finance,2804.80,47638.15,4361.23,3991.81,91.53,89.63,11.63,3.26,0.06,31.27,0.04,34.12,-62.92,44.57,0.96
Avishkar Infra,508929,,Realty,153.22,343.26,2.40,1.87,77.92,77.92,101.56,23.79,2.38,21.07,0.15,150.22,15.61,2.20,0.00
Bajaj Finance,500034,BAJFINANCE,Finance,942.00,585385.79,69709.44,47955.15,68.79,68.79,35.13,6.05,1.36,3.99,3.74,19.22,12937.90,-2.35,3.76
Bajaj Finserv,532978,BAJAJFINSV,Finance,2029.60,324292.17,133822.12,49524.20,37.01,37.01,36.50,4.48,1.71,2.96,4.92,13.39,-121431.86,-18.35,4.94
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,140.50,334.07,126.52,13.26,10.48,10.48,42.18,4.17,,7.44,0.39,13.77,87.77,2.05,4.94
Banco Products,500039,BANCOINDIA,Auto Components,660.20,9443.32,3212.52,611.16,19.02,19.02,24.10,7.25,0.60,16.23,0.44,33.28,1429.63,43.02,4.40
Belrise Industri,544405,BELRISE,Auto Components,124.28,11059.42,8290.82,1021.14,12.32,12.32,31.11,,,5.36,1.10,14.11,2208.13,61.63,1.49
Bemco Hydraulics,522650,,Industrial Manufacturing,3430.45,750.14,100.12,20.31,20.29,20.29,60.25,10.70,0.38,9.71,0.27,19.89,29.96,1.00,0.00
Blue Jet Health,544009,BLUEJET,Pharmaceuticals & Biotechnology,1010.20,17523.48,1029.99,377.73,36.67,36.67,57.42,15.46,3.56,24.65,0.02,30.85,753.50,46.26,1.11
