Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,173.86,1110.60,208.17,33.03,15.87,15.87,66.90,10.06,1.68,8.18,0.58,17.30,140.20,1.11,0.51
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,504.65,21803.88,3107.63,2371.26,76.30,76.30,23.91,3.42,0.65,4.31,2.56,16.86,1607.27,1.01,2.35
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,964.90,8745.33,2115.07,464.37,21.96,21.96,32.10,4.39,,9.93,0.21,14.54,963.01,10.12,0.64
AGI Infra,539042,AGIIL,Realty,1051.05,2568.08,324.87,92.54,28.49,28.49,38.52,8.71,1.11,5.86,0.47,25.66,144.14,12.58,2.04
Aimtron,,AIMTRON,Industrial Manufacturing,803.35,1639.94,158.31,34.09,21.53,21.53,63.71,10.57,,15.95,0.00,24.89,116.18,2.92,3.79
Algoquant Fin,505725,,Finance,1232.20,1924.26,234.70,48.24,20.55,20.55,60.34,19.06,,12.27,0.34,37.55,74.85,0.04,1.38
Allied Blenders,544203,ABDL,Beverages,492.15,13765.94,3519.88,431.08,12.25,12.25,70.74,8.92,0.68,6.29,0.59,19.96,1581.25,20.87,2.72
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1188.15,2907.81,780.15,125.28,16.06,16.06,34.83,13.44,0.37,24.19,0.36,48.07,180.11,2.86,2.12
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2504.50,20792.52,975.50,429.79,44.06,45.01,64.94,30.85,1.74,32.68,0.12,45.33,342.77,43.99,3.61
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,205.56,3816.50,683.10,206.09,30.17,30.17,24.32,4.32,,17.19,0.13,26.00,955.74,11.98,2.11
Aryaman Fin.Serv,530245,,Finance,705.80,824.52,112.87,52.67,46.66,46.66,26.13,6.40,0.25,23.47,0.22,31.30,116.80,5.23,3.18
Asahi India Glas,515030,ASAHIINDIA,Auto Components,850.70,20680.52,4594.48,766.13,16.68,16.68,60.03,7.75,3.25,5.61,1.01,13.72,722.98,66.46,1.62
ASK Automotive,544022,ASKAUTOLTD,Auto Components,539.45,10634.86,3600.83,432.14,12.00,12.00,42.95,10.20,2.33,14.19,0.39,26.63,107.40,17.89,2.80
