Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,169.99,1085.88,208.17,33.03,15.87,15.87,65.41,9.84,1.64,8.18,0.58,17.30,140.20,1.11,1.97
Aakaar Medical,,AAKAAR,Personal Products,78.55,111.33,61.58,9.74,15.82,15.82,18.43,,,13.71,0.98,33.80,44.63,0.18,2.06
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,927.20,8403.64,2115.07,464.37,21.96,21.96,30.85,4.22,,9.93,0.21,14.54,963.01,10.12,2.35
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,277.70,666.18,264.58,41.91,15.84,15.84,20.15,3.42,0.39,15.26,0.01,18.44,124.62,6.41,4.90
AGI Infra,539042,AGIIL,Realty,1032.00,2521.53,324.87,92.54,28.49,28.49,37.82,8.55,1.09,5.86,0.47,25.66,144.14,12.58,1.24
Aimtron,,AIMTRON,Industrial Manufacturing,791.55,1615.86,158.31,34.09,21.53,21.53,62.78,10.42,,15.95,0.00,24.89,116.18,2.92,4.33
Algoquant Fin,505725,,Finance,1217.90,1901.93,234.70,48.24,20.55,20.55,59.64,18.84,,12.27,0.34,37.55,74.85,0.04,2.25
Allied Blenders,544203,ABDL,Beverages,447.25,12510.04,3519.88,431.08,12.25,12.25,64.29,8.11,0.62,6.29,0.59,19.96,1581.25,20.87,1.66
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1106.95,2709.08,780.15,125.28,16.06,16.06,32.45,12.52,0.35,24.19,0.36,48.07,180.11,2.86,4.82
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2211.70,18361.67,975.50,429.79,44.06,45.01,57.34,27.24,1.54,32.68,0.12,45.33,342.77,43.99,4.79
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,200.48,3722.18,683.10,206.09,30.17,30.17,23.72,4.21,,17.19,0.13,26.00,955.74,11.98,4.26
Aryaman Fin.Serv,530245,,Finance,706.85,825.74,112.87,52.67,46.66,46.66,26.16,6.41,0.25,23.47,0.22,31.30,116.80,5.23,3.04
Asahi India Glas,515030,ASAHIINDIA,Auto Components,851.70,20704.83,4594.48,766.13,16.68,16.68,60.10,7.76,3.25,5.61,1.01,13.72,722.98,66.46,1.50
Asarfi Hospital,543943,,Healthcare Services,147.00,289.26,120.57,23.84,19.77,19.77,26.34,3.55,0.80,6.90,0.60,14.46,32.10,7.57,2.00
ASK Automotive,544022,ASKAUTOLTD,Auto Components,542.35,10692.03,3600.83,432.14,12.00,12.00,43.18,10.25,2.34,14.19,0.39,26.63,107.40,17.89,1.01
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,166.05,174.54,97.52,15.12,15.50,15.50,32.62,,,6.61,3.54,44.66,28.86,0.19,0.57
Avishkar Infra,508929,,Realty,120.08,269.02,2.40,1.87,77.92,77.92,79.59,18.64,1.86,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1436.20,6103.51,1030.72,142.42,13.82,13.82,78.44,9.40,3.70,6.91,0.39,12.61,449.36,16.99,4.67
Belrise Industri,544405,BELRISE,Auto Components,119.25,10611.81,8290.82,1021.14,12.32,12.32,29.86,,,5.36,1.10,14.11,2208.13,61.63,0.63
Bemco Hydraulics,522650,,Industrial Manufacturing,3107.20,679.45,100.12,20.31,20.29,20.29,54.57,9.69,0.34,9.71,0.27,19.89,29.96,1.00,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",265.80,3094.77,407.36,41.24,10.12,10.12,87.79,31.89,0.71,25.16,0.00,25.97,22.08,0.86,0.00
CCL Products,519600,CCL,Agricultural Food & other Products,888.05,11857.95,3105.75,555.09,17.87,17.87,38.21,6.03,2.87,7.98,0.92,17.05,1707.71,8.45,2.97
Cedaar Textile,,CEDAAR,Textiles & Apparels,131.55,182.57,188.71,29.89,15.84,15.84,16.52,,,5.91,5.79,56.05,94.70,1.33,3.48
Choice Intl.,531358,CHOICEIN,Finance,705.95,14094.68,910.38,284.59,31.26,31.26,90.04,13.72,1.37,7.36,0.45,18.87,856.03,11.29,4.60
CLN Energy,544347,,Auto Components,631.50,666.44,219.18,23.91,10.91,10.91,51.58,7.05,,8.26,0.17,23.95,81.29,1.21,4.18
Cryogenic OGS,544440,,Industrial Manufacturing,98.44,140.57,32.89,7.96,24.20,24.20,23.04,,,19.61,0.00,23.53,19.62,0.89,0.00
CSB Bank,542867,CSBBANK,Banks,415.00,7199.66,3597.14,1948.44,54.17,54.17,12.12,1.60,0.11,1.42,9.43,14.31,0.00,972.06,2.58
Cupid,530843,CUPID,Personal Products,118.52,3181.87,203.18,61.43,30.23,30.23,77.74,9.30,125.39,11.83,0.06,12.72,274.46,0.00,0.49
Datamatics Glob.,532528,DATAMATICS,IT - Services,732.15,4332.64,1723.36,229.26,13.30,13.30,24.18,3.18,1.19,10.21,0.14,13.82,638.16,78.01,1.69
Dharni Capital,543753,,Capital Markets,56.70,115.50,6.52,2.60,39.88,39.88,30.00,5.46,,17.92,0.10,20.02,3.50,2.61,1.56
Dodla Dairy,543306,DODLA,Food Products,1420.60,8570.17,3720.07,381.91,10.27,10.27,33.97,6.10,0.88,15.73,0.03,19.83,53.14,52.71,4.34
Ellen.Indl.Gas,544421,ELLEN,Chemicals & Petrochemicals,604.30,8516.74,312.48,109.83,35.15,35.15,106.17,16.04,-51.79,10.57,0.50,17.76,73.22,35.95,4.44
Exhicon Events,543895,,Other Consumer Services,463.05,600.23,143.51,35.12,24.47,24.47,23.09,5.36,,24.62,0.00,26.63,65.77,2.99,4.76
Fabtech Techn.,544332,,Industrial Manufacturing,423.90,522.22,150.03,16.04,10.69,10.69,39.26,5.53,1.45,12.51,0.01,18.21,81.83,0.87,1.18
Faze Three,530079,FAZE3Q,Textiles & Apparels,647.05,1573.56,658.91,75.70,11.49,11.49,39.51,3.78,2.53,6.35,0.43,10.02,265.23,14.02,2.99
Fiem Industries,532768,FIEMIND,Auto Components,1913.70,5036.79,2422.61,322.19,13.30,13.30,24.93,4.85,1.14,15.29,0.02,20.99,492.25,19.87,4.31
Foce India,,FOCE,Consumer Durables,1971.00,964.40,104.25,18.35,17.60,17.60,66.97,12.24,,11.08,0.38,20.11,36.19,0.39,0.00
Force Motors,500033,FORCEMOT,Automobiles,16421.00,21636.74,8071.73,1092.72,13.54,13.54,39.56,7.13,0.85,11.46,0.01,20.68,871.21,451.65,3.69
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,860.20,406.16,456.27,55.10,12.08,12.08,19.52,2.87,0.32,5.24,1.18,15.83,257.00,0.00,4.85
Freshara Agro,,FRESHARA,Food Products,200.70,471.63,250.64,36.19,14.44,14.44,16.38,3.69,,13.85,0.74,37.23,172.44,10.05,3.04
Gallantt Ispat L,532726,GALLANTT,Industrial Products,582.95,14065.47,4292.73,694.43,16.18,16.18,35.10,4.95,0.45,11.99,0.13,15.14,1241.44,15.62,4.43
GHV Infra,505504,,Construction,1151.45,1659.82,184.88,24.93,13.48,13.48,96.78,38.98,,15.49,0.73,82.12,15.11,0.00,0.00
GTV Engineering,539479,,Industrial Manufacturing,1167.30,364.65,102.77,16.17,15.73,15.73,33.00,7.72,0.48,15.02,0.24,26.42,35.66,0.18,2.64
