Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,171.84,1097.70,208.17,33.03,15.87,15.87,66.13,9.94,1.66,8.18,0.58,17.30,140.20,1.11,1.52
Aakaar Medical,,AAKAAR,Personal Products,78.25,110.90,61.58,9.74,15.82,15.82,18.36,,,13.71,0.98,33.80,44.63,0.18,3.87
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,944.70,8562.25,2115.07,464.37,21.96,21.96,31.43,4.30,,9.93,0.21,14.54,963.01,10.12,1.89
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,281.75,675.89,264.58,41.91,15.84,15.84,20.44,3.47,0.40,15.26,0.01,18.44,124.62,6.41,3.51
AGI Infra,539042,AGIIL,Realty,1045.95,2555.62,324.87,92.54,28.49,28.49,38.33,8.67,1.11,5.86,0.47,25.66,144.14,12.58,2.52
Algoquant Fin,505725,,Finance,1214.25,1896.23,234.70,48.24,20.55,20.55,59.46,18.78,,12.27,0.34,37.55,74.85,0.04,2.56
Allied Blenders,544203,ABDL,Beverages,491.45,13746.36,3519.88,431.08,12.25,12.25,70.64,8.91,0.68,6.29,0.59,19.96,1581.25,20.87,2.86
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1190.35,2913.19,780.15,125.28,16.06,16.06,34.90,13.46,0.37,24.19,0.36,48.07,180.11,2.86,1.54
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,202.77,3764.70,683.10,206.09,30.17,30.17,23.99,4.26,,17.19,0.13,26.00,955.74,11.98,3.44
Aryaman Fin.Serv,530245,,Finance,717.15,837.77,112.87,52.67,46.66,46.66,26.55,6.51,0.26,23.47,0.22,31.30,116.80,5.23,1.63
Asahi India Glas,515030,ASAHIINDIA,Auto Components,843.80,20512.78,4594.48,766.13,16.68,16.68,59.54,7.69,3.22,5.61,1.01,13.72,722.98,66.46,2.42
Asarfi Hospital,543943,,Healthcare Services,144.00,283.35,120.57,23.84,19.77,19.77,25.81,3.48,0.78,6.90,0.60,14.46,32.10,7.57,4.00
ASK Automotive,544022,ASKAUTOLTD,Auto Components,549.70,10836.93,3600.83,432.14,12.00,12.00,43.77,10.39,2.37,14.19,0.39,26.63,107.40,17.89,0.47
ASM Technologies,526433,,IT - Software,2934.30,3454.34,288.81,47.20,16.34,16.34,136.81,20.92,0.80,9.62,0.52,16.47,149.13,8.55,0.52
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,177.00,186.04,97.52,15.12,15.50,15.50,34.77,,,6.61,3.54,44.66,28.86,0.19,3.75
Avishkar Infra,508929,,Realty,132.38,296.57,2.40,1.87,77.92,77.92,87.74,20.55,2.05,21.07,0.15,150.22,15.61,2.20,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,141.00,335.26,126.52,13.26,10.48,10.48,42.33,4.19,,7.44,0.39,13.77,87.77,2.05,4.60
