Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,179.25,1145.03,208.17,33.03,15.87,15.87,68.98,10.37,0.31,8.18,0.58,17.30,140.20,1.11,0.97
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,516.75,22326.67,3107.63,2371.26,76.30,76.30,24.48,3.50,0.91,4.31,2.56,16.86,1607.27,1.01,2.75
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,946.90,8582.19,2115.07,464.37,21.96,21.96,31.51,4.31,1.03,9.93,0.21,14.54,963.01,10.12,2.53
Aditya AMC,543374,ABSLAMC,Capital Markets,878.35,25351.50,1982.28,1286.65,64.91,64.91,27.24,6.80,2.39,24.44,0.02,26.99,75.86,3.54,3.68
Aditya Birla Cap,540691,ABCAPITAL,Finance,268.60,70128.16,40589.98,14232.65,35.06,35.06,21.22,2.30,0.82,1.32,4.61,11.55,-57973.25,578.57,4.97
Aesthetik Engi.,,AESTHETIK,Construction,141.00,242.80,57.88,7.71,13.32,13.32,45.98,5.49,0.33,11.62,0.17,17.81,28.77,0.82,2.56
AGI Infra,539042,AGIIL,Realty,1048.10,2560.87,324.87,92.54,28.49,28.49,38.41,8.69,1.72,5.86,0.47,25.66,144.14,12.58,3.31
Algoquant Fin,505725,,Finance,1228.80,1918.95,234.70,48.24,20.55,20.55,60.17,19.01,,12.27,0.34,37.55,74.85,0.04,1.81
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1210.45,2962.38,780.15,125.28,16.06,16.06,35.49,13.69,0.03,24.19,0.36,48.07,180.11,2.86,3.93
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2686.50,22303.49,975.50,429.79,44.06,45.01,69.65,33.09,2.08,32.68,0.12,45.33,342.77,43.99,0.43
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,756.20,42468.95,1840.65,689.67,37.47,37.47,83.86,,10.98,19.63,0.05,22.99,1020.19,108.98,1.27
Apis India,506166,,Food Products,340.75,187.76,350.35,35.60,10.16,10.16,7.41,1.08,0.16,9.17,0.38,15.79,181.06,1.86,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7373.50,106019.62,21794.00,3021.80,13.87,13.87,73.32,12.91,3.75,8.05,0.96,19.09,3483.40,233.30,3.43
Arkade,544261,ARKADE,Realty,208.20,3865.52,683.10,206.09,30.17,30.17,24.63,4.37,0.51,17.19,0.13,26.00,955.74,11.98,2.57
Aryaman Capital,538716,,Finance,333.00,398.84,74.59,27.89,37.39,37.39,17.39,5.15,0.06,22.15,0.36,38.69,62.22,2.75,4.58
Asahi India Glas,515030,ASAHIINDIA,Auto Components,854.00,20760.74,4594.48,766.13,16.68,16.68,60.26,7.78,86.09,5.61,1.01,13.72,722.98,66.46,2.56
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,569.50,5440.21,2738.93,369.99,13.51,13.51,18.82,4.38,0.32,7.98,0.94,26.62,697.96,74.89,3.00
