Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,171.37,1094.69,208.17,33.03,15.87,15.87,65.95,9.92,1.65,8.18,0.58,17.30,140.20,1.11,2.07
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,502.75,21721.78,3107.63,2371.26,76.30,76.30,23.82,3.40,0.65,4.31,2.56,16.86,1607.27,1.01,2.72
Aakaar Medical,,AAKAAR,Personal Products,89.75,127.20,61.58,9.74,15.82,15.82,21.06,,,13.71,0.98,33.80,44.63,0.18,0.72
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,957.90,8681.89,2115.07,464.37,21.96,21.96,31.87,4.36,,9.93,0.21,14.54,963.01,10.12,1.40
AGI Infra,539042,AGIIL,Realty,1060.20,2590.43,324.87,92.54,28.49,28.49,38.85,8.79,1.12,5.86,0.47,25.66,144.14,12.58,2.20
Aimtron,,AIMTRON,Industrial Manufacturing,794.90,1622.69,158.31,34.09,21.53,21.53,63.04,10.46,,15.95,0.00,24.89,116.18,2.92,4.80
Algoquant Fin,505725,,Finance,1221.30,1907.24,234.70,48.24,20.55,20.55,59.81,18.89,,12.27,0.34,37.55,74.85,0.04,2.41
Allied Blenders,544203,ABDL,Beverages,496.95,13900.20,3519.88,431.08,12.25,12.25,71.43,9.01,0.68,6.29,0.59,19.96,1581.25,20.87,1.77
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1175.55,2876.97,780.15,125.28,16.06,16.06,34.46,13.29,0.37,24.19,0.36,48.07,180.11,2.86,3.16
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2586.50,21473.29,975.50,429.79,44.06,45.01,67.06,31.86,1.80,32.68,0.12,45.33,342.77,43.99,1.63
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,207.23,3847.51,683.10,206.09,30.17,30.17,24.52,4.35,,17.19,0.13,26.00,955.74,11.98,1.32
Aryaman Capital,538716,,Finance,333.75,399.74,74.59,27.89,37.39,37.39,17.43,5.17,0.09,22.15,0.36,38.69,62.22,2.75,4.37
Aryaman Fin.Serv,530245,,Finance,709.65,829.01,112.87,52.67,46.66,46.66,26.27,6.44,0.25,23.47,0.22,31.30,116.80,5.23,2.65
Asahi India Glas,515030,ASAHIINDIA,Auto Components,873.05,21223.85,4594.48,766.13,16.68,16.68,61.61,7.95,3.33,5.61,1.01,13.72,722.98,66.46,0.38
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,543.85,5195.19,2738.93,369.99,13.51,13.51,17.97,4.18,0.43,7.98,0.94,26.62,697.96,74.89,4.85
ASK Automotive,544022,ASKAUTOLTD,Auto Components,538.40,10614.16,3600.83,432.14,12.00,12.00,42.87,10.18,2.32,14.19,0.39,26.63,107.40,17.89,2.99
ASM Technologies,526433,,IT - Software,2835.50,3338.03,288.81,47.20,16.34,16.34,132.20,20.21,0.77,9.62,0.52,16.47,149.13,8.55,4.85
Asston Pharmaceu,544445,,Pharmaceuticals & Biotechnology,123.50,105.13,25.04,6.17,24.64,24.64,24.28,,,21.37,1.07,67.76,11.46,0.57,1.20
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,178.55,187.67,97.52,15.12,15.50,15.50,35.08,,,6.61,3.54,44.66,28.86,0.19,2.91
Avishkar Infra,508929,,Realty,145.93,326.93,2.40,1.87,77.92,77.92,96.72,22.66,2.26,21.07,0.15,150.22,15.61,2.20,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,141.90,337.40,126.52,13.26,10.48,10.48,42.60,4.22,,7.44,0.39,13.77,87.77,2.05,3.99
Banco Products,500039,BANCOINDIA,Auto Components,664.70,9507.69,3212.52,611.16,19.02,19.02,24.27,7.30,0.61,16.23,0.44,33.28,1429.63,43.02,3.75
Belrise Industri,544405,BELRISE,Auto Components,121.45,10807.58,8290.82,1021.14,12.32,12.32,30.41,,,5.36,1.10,14.11,2208.13,61.63,2.25
Bemco Hydraulics,522650,,Industrial Manufacturing,3363.20,735.43,100.12,20.31,20.29,20.29,59.07,10.49,0.37,9.71,0.27,19.89,29.96,1.00,0.00
Blue Jet Health,544009,BLUEJET,Pharmaceuticals & Biotechnology,970.70,16838.29,1029.99,377.73,36.67,36.67,55.17,14.86,3.42,24.65,0.02,30.85,753.50,46.26,1.95
CCL Products,519600,CCL,Agricultural Food & other Products,888.60,11865.29,3105.75,555.09,17.87,17.87,38.23,6.03,2.87,7.98,0.92,17.05,1707.71,8.45,2.91
CEAT,500878,CEATLTD,Auto Components,3855.00,15593.51,13554.46,1478.99,10.91,11.15,33.99,3.57,2.32,4.65,0.49,11.72,-654.90,-24.23,4.79
Cedaar Textile,,CEDAAR,Textiles & Apparels,130.60,181.25,188.71,29.89,15.84,15.84,16.40,,,5.91,5.79,56.05,94.70,1.33,4.18
Chemkart India,544442,,Food Products,249.00,301.27,203.28,32.76,16.12,16.12,12.42,,,34.75,0.32,58.95,61.37,2.18,4.96
Choice Intl.,531358,CHOICEIN,Finance,756.30,15099.95,910.38,284.59,31.26,31.26,96.46,14.70,1.46,7.36,0.45,18.87,856.03,11.29,0.75
Cryogenic OGS,544440,,Industrial Manufacturing,119.63,170.83,32.89,7.96,24.20,24.20,28.00,,,19.61,0.00,23.53,19.62,0.89,0.00
CSB Bank,542867,CSBBANK,Banks,428.05,7426.06,3597.14,1948.44,54.17,54.17,12.51,1.65,0.11,1.42,9.43,14.31,0.00,972.06,1.07
Cupid,530843,CUPID,Personal Products,133.66,3588.33,203.18,61.43,30.23,30.23,87.67,10.48,141.40,11.83,0.06,12.72,274.46,0.00,3.14
Datamatics Glob.,532528,DATAMATICS,IT - Services,762.90,4514.61,1723.36,229.26,13.30,13.30,25.20,3.31,1.24,10.21,0.14,13.82,638.16,78.01,1.37
DCB Bank,532772,DCBBANK,Banks,147.90,4651.21,6470.59,4543.52,70.22,70.22,7.56,0.82,0.60,0.88,12.15,11.43,2605.63,750.51,1.92
Dharni Capital,543753,,Capital Markets,56.99,116.09,6.52,2.60,39.88,39.88,30.15,5.49,,17.92,0.10,20.02,3.50,2.61,1.06
Dodla Dairy,543306,DODLA,Food Products,1462.60,8823.55,3720.07,381.91,10.27,10.27,34.97,6.28,0.90,15.73,0.03,19.83,53.14,52.71,4.09
EFC (I),512008,,Realty,341.05,3395.27,656.74,327.68,49.89,49.89,30.09,6.25,,10.60,1.62,23.27,330.53,17.52,4.86
Exhicon Events,543895,,Other Consumer Services,506.60,656.68,143.51,35.12,24.47,24.47,25.26,5.86,,24.62,0.00,26.63,65.77,2.99,0.22
Fabtech Techn.,544332,,Industrial Manufacturing,442.95,545.69,150.03,16.04,10.69,10.69,41.03,5.78,1.51,12.51,0.01,18.21,81.83,0.87,0.33
