Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,979.00,158852.06,11212.00,8889.00,79.28,79.28,95.38,12.74,1.69,2.32,6.59,14.61,783.00,1316.00,1540.00,395.00,101.00,3.32,0.46,-0.87,9.95,53.20
Addictive Learn,,LAWSIKHO,Other Consumer Services,150.10,238.81,74.86,17.47,23.34,23.34,24.47,3.09,0.14,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.52,0.50,-0.87,0.00,66.53
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,530.25,8345.79,4118.16,464.64,11.28,11.28,25.87,2.68,0.52,8.64,0.03,17.19,1401.74,68.66,770.30,642.78,680.93,4.51,1.46,-1.53,0.25,54.91
Arham Tech,,ARHAM,Consumer Durables,81.55,137.98,69.89,12.68,18.14,18.14,18.96,4.42,,12.33,0.83,26.43,48.53,0.20,15.53,8.42,42.24,7.08,0.00,0.00,2.21,55.44
Artificial Elect,526443,,IT - Software,106.15,180.10,26.10,3.00,11.49,11.49,63.63,5.71,0.36,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.00,0.00,0.00,0.00,75.91
Autoline Industr,532797,AUTOIND,Auto Components,75.98,328.07,658.55,68.47,10.40,10.40,15.26,2.12,0.13,3.23,1.88,14.89,-4.80,0.19,126.71,88.73,67.22,9.32,-0.55,0.05,5.26,51.61
B & A Packaging,523186,,Industrial Products,244.00,121.02,130.88,14.28,10.91,10.91,12.31,1.47,4.87,10.02,0.02,12.55,55.42,1.77,22.24,11.44,34.81,12.48,0.00,0.00,0.14,54.26
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,48.76,269.17,292.56,37.21,12.72,12.72,10.76,1.16,-0.56,8.82,0.23,11.58,218.62,-3.72,110.80,16.18,78.48,11.13,0.00,-7.15,1.69,62.33
Beacon Trust.,,BEACON,Capital Markets,56.60,102.26,25.85,7.25,28.05,28.05,18.82,2.28,1.30,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.51,0.00,-0.70,0.02,57.12
BEW Engg,,BEWLTD,,165.30,216.10,134.36,20.40,15.18,15.18,17.76,1.56,0.61,6.31,0.42,11.64,146.30,0.92,40.40,11.26,117.31,7.25,0.00,0.00,2.86,56.38
Bharat Road,540700,BRNL,Construction,20.56,172.58,458.21,240.51,52.49,52.49,1.26,0.51,0.03,6.53,1.31,52.27,135.79,21.80,0.94,3.35,0.00,46.31,0.00,0.01,2.31,61.93
Bodhi Tree,543767,BTML,Entertainment,8.64,155.96,89.10,9.01,10.11,10.11,31.98,4.78,2.17,6.41,0.66,16.27,46.67,0.66,23.35,24.94,24.01,5.54,3.29,-0.19,2.31,55.78
Brand Concepts,543442,BCONCEPTS,Retailing,331.00,371.32,272.69,29.13,10.68,10.68,56.35,5.20,0.53,3.23,1.73,10.33,113.72,0.79,72.67,39.30,62.28,3.81,-0.85,-0.08,6.66,55.20
CapitalNumbers,544343,,IT - Software,131.10,320.24,99.73,29.72,29.80,29.80,12.43,2.04,0.68,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,14.02,,,0.00,52.15
Chemtech Indust.,537326,,Industrial Manufacturing,117.00,209.87,40.04,7.91,19.76,19.76,29.87,2.19,0.21,9.04,0.00,10.74,81.94,2.63,11.32,3.83,2.42,6.65,0.00,0.00,0.00,64.11
Danlaw Tech.,532329,,Industrial Manufacturing,915.00,445.67,218.38,31.82,14.57,14.57,23.55,5.81,0.19,13.10,0.46,28.11,76.05,0.96,49.07,26.00,36.86,6.07,0.00,0.00,1.28,59.50
DCG Cables,,DCG,,74.25,134.76,127.56,16.04,12.57,12.57,16.63,1.70,0.09,7.92,0.44,15.69,73.02,1.12,13.28,0.86,36.48,8.41,0.00,0.00,2.42,51.31
Delaplex,,DELAPLEX,IT - Software,144.00,131.19,55.76,10.87,19.49,19.49,12.69,1.81,0.66,14.82,0.00,15.10,49.21,3.31,26.56,0.20,0.00,10.81,0.00,0.00,0.00,51.10
Delta Auto.,,DELTIC,Automobiles,71.00,108.55,83.19,10.99,13.21,13.21,12.93,1.49,,14.25,0.05,18.49,75.33,0.82,16.61,3.86,18.26,15.18,,,0.34,61.36
Dolat Algotech,505526,DOLATALGO,Capital Markets,92.05,1620.08,529.90,347.71,65.62,65.62,7.48,1.64,0.85,20.82,0.07,24.00,598.74,0.02,0.00,0.00,0.00,20.13,0.01,-0.01,0.19,50.64
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,140.90,193.68,274.74,36.48,13.28,13.28,11.41,1.03,0.12,7.63,0.64,12.54,185.31,2.10,89.52,13.71,27.97,12.61,0.00,0.00,3.15,65.15
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,10.35,3668.09,587.32,145.29,24.74,24.74,34.12,5.08,75.82,10.66,0.05,16.21,495.55,15.93,296.19,130.95,2.07,4.15,-0.43,-1.15,0.25,53.38
